Input Sample,BC_01,BC_02,BC_03,BC_03LN,BC_04,BC_05,BC_06,BC_07,BC_07LN,BC_08,BC_09,BC_10,BC_11,P-value,Pearson Correlation,RMSE
TCGA-A7-A4SF,0.04877531961674339,0.24527307363112077,0,0.04908831594048605,0,0.5495868411513635,0.06807778713688224,0,0,0.0048197442087280105,0.03437891831467611,0,0,0,0.3307199373596704,1.0774145003151585
TCGA-A8-A06R,0,0.11535919549038749,0,0.14851409373258911,0.03925350880862007,0,0,0,0.11367124092208052,0.24005408102102635,0.3007125036540009,0.04243537637129559,0,0,0.17514844233804308,1.1594080334319266
TCGA-A8-A06T,0.3056327208054941,0.2374754266055426,0,0.14325788308758058,0,0.08483028617373817,0,0.01053719711532605,0,0,0.21826648621231845,0,0,0,0.3148437017703665,1.0483485731256517
TCGA-A8-A06U,0.31742726014637623,0.14601975894509614,0,0,0.020061518724924666,0.11966827871408253,0.05826745803562767,0.04556777081518835,0,0,0.29298795461870436,0,0,0,0.3595156323286975,1.0106974421973907
TCGA-A8-A06X,0.15800256356195858,0.0933558014028968,0,0.21459042696059152,0,0.18154536054220163,0,0.007936753244627098,0,0.058310597381929154,0.2490159008228105,0,0.037242596082984705,0,0.32644026374582236,1.0413835805889666
TCGA-A8-A075,0.0737567699394846,0.03544238674797492,0,0.11193594850967216,0,0.18782383266109476,0,0.100724272027972,0.01352221567975078,0,0.3915685262050137,0.08522604822903705,0,0,0.16473023795462766,1.1690589041654447
TCGA-A8-A076,0,0.1499238289746328,0.006052734071665621,0.052612611170313024,0.013163060536827384,0.49418597368918016,0,0.02687654503401952,0,0.14572641622185326,0.11145883030150822,0,0,0,0.2698093383219782,1.100629164536961
TCGA-A8-A07B,0.1651912990299015,0,0,0.10841299293741535,0.012274633220491108,0.5019999416426009,0,0.05393483825454161,0.017131903484767935,0.11580017559538068,0,0.02525421583490098,0,0,0.42593255644042605,0.9902809663905437
TCGA-A8-A07I,0.2612995653817186,0.18007559096629738,0,0.2516589602788867,0,0.099472689850002,0,0,0,0,0.15375794764506204,0.05373524587803329,0,0,0.28530904679830404,1.0725051842399635
TCGA-A8-A07P,0.27518708094779226,0.11991454038631331,0.10475716115817363,0.048912704445448194,0,0.31054279045539845,0,0.07453600652912665,0,0.03752584678821352,0,0.028623869289534025,0,0,0.28131124953790265,1.0936149202142942
TCGA-A8-A07R,0.050967387990998876,0,0,0.22927574256168212,0,0.2750840458054422,0,0,0,0.09656033106585421,0,0.1484453606833753,0.1996671318926473,0,0.24195163853425522,1.1231197100722266
TCGA-A8-A08B,0.043422920531575745,0.019534110490308062,0.03761238423262559,0,0.11911431341145372,0.4882865423251234,0.14262554281788226,0,0,0.0025438003601912776,0.14686038583083996,0,0,0,0.49831889556178954,0.9195854027995023
TCGA-A8-A08C,0.33249374104777235,0.09010378616051871,0,0,0,0.2775611443115531,0,0.11473179626074846,0.061899608791024394,0.08577676904965377,0.03743315437872923,0,0,0,0.38545251001521535,1.0096713730868143
TCGA-A8-A08G,0.30351504205901364,0.28566389562521893,0,0.04422290957555717,0,0.16644403109019468,0,0.0074889934442330395,0,0.05185521240788774,0.14080991579789479,0,0,0,0.25690154656105824,1.097102989613719
